word,value
faced,-2
faces,-2
abnormal,-1
abolish,-1
abominable,-1
abominably,-1
abominate,-1
abomination,-1
abort,-1
aborted,-1
aborts,-1
abrade,-1
abrasive,-1
abrupt,-1
abruptly,-1
abscond,-1
absence,-1
absent-minded,-1
absentee,-1
absurd,-1
absurdity,-1
absurdly,-1
absurdness,-1
abuse,-1
abused,-1
abuses,-1
abusive,-1
abysmal,-1
abysmally,-1
abyss,-1
accidental,-1
accost,-1
accursed,-1
accusation,-1
accusations,-1
accuse,-2
accuses,-2
accusing,-2
accusingly,-2
acerbate,-2
acerbic,-2
acerbically,-2
ache,-2
ached,-2
aches,-2
achey,-2
aching,-2
acrid,-2
acridly,-2
acridness,-2
acrimonious,-2
acrimoniously,-1
acrimony,-1
adamant,-1
adamantly,-1
addict,-1
addicted,-1
addicting,-1
addicts,-1
admonish,-1
admonisher,-1
admonishingly,-1
admonishment,-1
admonition,-1
adulterate,-1
adulterated,-1
adulteration,-1
adulterier,-1
adversarial,-1
adversary,-1
adverse,-1
adversity,-1
afflict,-1
affliction,-1
afflictive,-1
affront,-1
afraid,-1
aggravate,-1
aggravating,-1
aggravation,-1
aggression,-1
aggressive,-1
aggressiveness,-1
aggressor,-1
aggrieve,-1
aggrieved,-1
aggrivation,-1
aghast,-1
agonies,-1
agonize,-1
agonizing,-1
agonizingly,-1
agony,-1
aground,-1
ail,-1
ailing,-1
ailment,-1
aimless,-1
alarm,-1
alarmed,-1
alarming,-1
alarmingly,-1
alienate,-1
alienated,-1
alienation,-1
allegation,-1
allegations,-1
allege,-1
allergic,-1
allergies,-1
allergy,-1
aloof,-1
altercation,-1
ambiguity,-1
ambiguous,-1
ambivalence,-1
ambivalent,-1
ambush,-1
amiss,-1
amputate,-1
anarchism,-1
anarchist,-1
anarchistic,-1
anarchy,-1
anemic,-1
anger,-1
angrily,-1
angriness,-1
angry,-1
anguish,-1
animosity,-1
annihilate,-1
annihilation,-1
annoy,-1
annoyance,-1
annoyances,-1
annoyed,-1
annoying,-1
annoyingly,-1
annoys,-1
anomalous,-1
anomaly,-1
antagonism,-1
antagonist,-1
antagonistic,-1
antagonize,-1
anti-,-1
anti-american,-1
anti-israeli,-1
anti-occupation,-1
anti-proliferation,-1
anti-semites,-1
anti-social,-1
anti-us,-1
anti-white,-1
antipathy,-1
antiquated,-1
antithetical,-1
anxieties,-1
anxiety,-1
anxious,-1
anxiously,-1
anxiousness,-1
apathetic,-1
apathetically,-1
apathy,-1
apocalypse,-1
apocalyptic,-1
apologist,-1
apologists,-1
appal,-1
appall,-1
appalled,-1
appalling,-1
appallingly,-1
apprehension,-2
apprehensions,-2
apprehensive,-2
apprehensively,-2
arbitrary,-2
arcane,-2
archaic,-2
arduous,-2
arduously,-2
argumentative,-2
arrogance,-2
arrogant,-2
arrogantly,-2
ashamed,-2
asinine,-2
asininely,-2
asinininity,-2
askance,-2
asperse,-2
aspersion,-2
aspersions,-2
assail,-2
assassin,-2
assassinate,-2
assault,-2
assult,-2
astray,-2
asunder,-2
atrocious,-2
atrocities,-2
atrocity,-2
atrophy,-2
attack,-2
attacks,-2
audacious,-2
audaciously,-2
audaciousness,-2
audacity,-2
audiciously,-2
austere,-2
authoritarian,-2
autocrat,-2
autocratic,-2
avalanche,-2
avarice,-2
avaricious,-2
avariciously,-2
avenge,-2
averse,-2
aversion,-2
aweful,-2
awful,-2
awfully,-2
awfulness,-2
awkward,-2
awkwardness,-2
ax,-2
babble,-2
back-logged,-2
back-wood,-2
back-woods,-2
backache,-1
backaches,-1
backaching,-1
backbite,-1
backbiting,-1
backward,-1
backwardness,-1
backwood,-1
backwoods,-1
bad,-1
badly,-1
baffle,-1
baffled,-1
bafflement,-1
baffling,-1
bait,-1
balk,-1
banal,-1
banalize,-1
bane,-1
banish,-1
banishment,-1
bankrupt,-1
barbarian,-1
barbaric,-1
barbarically,-1
barbarity,-1
barbarous,-1
barbarously,-1
barren,-1
baseless,-1
bash,-1
bashed,-1
bashful,-1
bashing,-1
bastard,-5
bastards,-5
battered,-3
battering,-3
batty,-3
bearish,-3
beastly,-3
bedlam,-3
bedlamite,-3
befoul,-3
beg,-3
beggar,-3
beggarly,-3
begging,-3
beguile,-3
belabor,-3
belated,-3
beleaguer,-3
belie,-3
belittle,-3
belittled,-3
belittling,-3
bellicose,-3
belligerence,-3
belligerent,-3
belligerently,-3
bemoan,-3
bemoaning,-3
bemused,-3
bent,-3
berate,-3
bereave,-3
bereavement,-3
bereft,-3
berserk,-3
beseech,-3
beset,-3
besiege,-3
besmirch,-3
bestial,-3
betray,-3
betrayal,-3
betrayals,-3
betrayer,-3
betraying,-3
betrays,-3
bewail,-3
beware,-3
bewilder,-3
bewildered,-3
bewildering,-3
bewilderingly,-3
bewilderment,-3
bewitch,-3
bias,-3
biased,-3
biases,-3
bicker,-3
bickering,-3
bid-rigging,-3
bigotries,-3
bigotry,-3
bitch,-3
bitchy,-3
biting,-3
bitingly,-3
bitter,-3
bitterly,-3
bitterness,-3
bizarre,-3
blab,-3
blabber,-3
blackmail,-3
blah,-3
blame,-3
blameworthy,-3
bland,-3
blandish,-3
blaspheme,-3
blasphemous,-3
blasphemy,-3
blasted,-3
blatant,-3
blatantly,-3
blather,-3
bleak,-3
bleakly,-3
bleakness,-3
bleed,-3
bleeding,-3
bleeds,-3
blemish,-3
blind,-3
blinding,-3
blindingly,-3
blindside,-3
blister,-3
blistering,-3
bloated,-3
blockage,-3
blockhead,-3
bloodshed,-3
bloodthirsty,-3
bloody,-3
blotchy,-3
blow,-3
blunder,-3
blundering,-3
blunders,-3
blunt,-3
blur,-3
bluring,-3
blurred,-3
blurring,-3
blurry,-3
blurs,-3
blurt,-3
boastful,-3
boggle,-3
bogus,-3
boil,-3
boiling,-3
boisterous,-3
bomb,-3
bombard,-3
bombardment,-3
bombastic,-3
bondage,-3
bonkers,-3
bore,-3
bored,-3
boredom,-3
bores,-3
boring,-3
botch,-3
bother,-3
bothered,-3
bothering,-3
bothers,-3
bothersome,-3
bowdlerize,-3
boycott,-3
braggart,-3
bragger,-3
brainless,-3
brainwash,-3
brash,-3
brashly,-3
brashness,-3
brat,-3
bravado,-3
brazen,-3
brazenly,-3
brazenness,-3
breach,-3
break,-3
break-up,-3
break-ups,-3
breakdown,-3
breaking,-3
breaks,-3
breakup,-3
breakups,-3
bribery,-3
brimstone,-3
bristle,-3
brittle,-3
broke,-3
broken,-3
broken-hearted,-3
brood,-3
browbeat,-3
bruise,-3
bruised,-3
bruises,-3
bruising,-3
brusque,-3
brutal,-3
brutalising,-3
brutalities,-3
brutality,-3
brutalize,-3
brutalizing,-3
brutally,-3
brute,-3
brutish,-3
bs,-3
buckle,-3
bug,-3
bugging,-3
buggy,-3
bugs,-3
bulkier,-3
bulkiness,-3
bulky,-3
bulkyness,-3
bull****,-3
bull----,-3
bullies,-3
bullshit,-3
bullshyt,-3
bully,-3
bullying,-3
bullyingly,-3
bum,-3
bump,-3
bumped,-3
bumping,-3
bumpping,-3
bumps,-3
bumpy,-3
bungle,-3
bungler,-3
bungling,-3
bunk,-3
burden,-3
burdensome,-3
burdensomely,-3
burn,-3
burned,-3
burning,-3
burns,-3
bust,-3
busts,-3
busybody,-3
butcher,-3
butchery,-3
buzzing,-2
byzantine,-2
cackle,-2
calamities,-2
calamitous,-2
calamitously,-2
calamity,-2
callous,-2
calumniate,-2
calumniation,-2
calumnies,-2
calumnious,-2
calumniously,-2
calumny,-2
cancer,-2
cancerous,-2
cannibal,-2
cannibalize,-2
capitulate,-2
capricious,-2
capriciously,-2
capriciousness,-2
capsize,-2
careless,-2
carelessness,-2
caricature,-2
carnage,-2
carp,-2
cartoonish,-2
cash-strapped,-2
castigate,-2
castrated,-2
casualty,-2
cataclysm,-2
cataclysmal,-2
cataclysmic,-2
cataclysmically,-2
catastrophe,-2
catastrophes,-2
catastrophic,-2
catastrophically,-2
catastrophies,-2
caustic,-2
caustically,-2
cautionary,-2
cave,-2
censure,-2
chafe,-2
chaff,-2
chagrin,-2
challenging,-2
chaos,-2
chaotic,-2
chasten,-2
chastise,-2
chastisement,-2
chatter,-2
chatterbox,-2
cheap,-2
cheapen,-2
cheaply,-2
cheat,-2
cheated,-2
cheater,-2
cheating,-2
cheats,-2
checkered,-2
cheerless,-2
cheesy,-2
chide,-2
childish,-2
chill,-2
chilly,-2
chintzy,-2
choke,-2
choleric,-2
choppy,-2
chore,-2
chronic,-2
chunky,-2
clamor,-2
clamorous,-2
clash,-2
cliche,-2
cliched,-2
clique,-2
clog,-2
clogged,-2
clogs,-2
cloud,-2
clouding,-2
cloudy,-2
clueless,-2
clumsy,-2
clunky,-2
coarse,-2
cocky,-2
coerce,-2
coercion,-2
coercive,-2
cold,-2
coldly,-2
collapse,-2
collude,-2
collusion,-2
combative,-2
combust,-2
comical,-2
commiserate,-2
commonplace,-2
commotion,-2
commotions,-2
complacent,-2
complain,-2
complained,-2
complaining,-2
complains,-2
complaint,-2
complaints,-2
complex,-2
complicated,-2
complication,-2
complicit,-2
compulsion,-2
compulsive,-2
concede,-2
conceded,-2
conceit,-2
conceited,-2
concen,-2
concens,-2
concern,-2
concerned,-2
concerns,-2
concession,-2
concessions,-2
condemn,-2
condemnable,-2
condemnation,-2
condemned,-2
condemns,-2
condescend,-2
condescending,-2
condescendingly,-2
condescension,-2
confess,-2
confession,-2
confessions,-2
confined,-2
conflict,-2
conflicted,-2
